timestamp,load_mae,load_rmse,load_mape,solar_mae,solar_rmse,solar_mape,load_forecast_mean,load_real_mean,solar_forecast_mean,solar_real_mean
2025-02-01 00:00:00,0.5556666666666666,0.8098890870565755,118.76243771134625,0.05441666666666664,0.09587244672827881,5.797118085127438,0.68725,0.6676666666666667,0.9782708333333333,1.0326875
2025-02-01 06:00:00,0.5410416666666666,0.7957217897397725,101.05942272862822,0.05441666666666664,0.09587244672827881,5.797118085127438,0.60275,0.7182916666666667,0.9782708333333333,1.0326875
2025-02-01 12:00:00,0.5399166666666667,0.8098598644209997,97.93250263394704,0.03827083333333332,0.06957617228620729,3.8999486243718184,0.5812083333333333,0.7020416666666667,1.0092890625,1.0475234375
2025-02-01 18:00:00,0.4666666666666668,0.7226151580659422,96.37347600150568,0.035395833333333356,0.07108672813308173,4.720462097709113,0.5152083333333334,0.6080416666666666,1.0326875,1.0679375
2025-02-02 00:00:00,0.396375,0.6442474938510303,139.68855582351136,0.035395833333333356,0.07108672813308173,4.720462097709113,0.6676666666666667,0.47270833333333345,1.0326875,1.0679375
2025-02-02 06:00:00,0.41733333333333333,0.6613347614231893,174.21688103931203,0.035395833333333356,0.07108672813308173,4.720462097709113,0.7182916666666667,0.3767916666666667,1.0326875,1.0679375
2025-02-02 12:00:00,0.38395833333333335,0.6309863971064141,175.96507042159465,0.06809114583333337,0.162939172172087,8.350035430424096,0.7020416666666667,0.33100000000000007,1.0475052083333332,1.0291380208333332
2025-02-02 18:00:00,0.42354166666666665,0.6802517916183684,139.71815003127415,0.06898437500000003,0.17405283860081114,7.548710853434744,0.6080416666666666,0.4653333333333334,1.0679192708333334,1.0109036458333334
2025-02-03 00:00:00,0.4154166666666666,0.676929587672652,152.40293304500068,0.06907031250000002,0.17405351749713366,7.548710853434744,0.47270833333333345,0.32887500000000003,1.0679192708333334,1.0109895833333333
2025-02-03 06:00:00,0.3292083333333333,0.6122626070568086,113.44512290485804,0.06907031250000002,0.17405351749713366,7.548710853434744,0.3767916666666667,0.32291666666666674,1.0679192708333334,1.0109895833333333
2025-02-03 12:00:00,0.2860416666666667,0.5750584028311095,93.04262011575136,0.06427083333333335,0.15975949534899847,5.8247081072679485,0.33100000000000007,0.3200416666666667,1.0290755208333333,1.0423203125
2025-02-03 18:00:00,0.2752916666666667,0.5602268885609354,133.65335629741537,0.07626041666666668,0.1618809120542011,6.737164783694209,0.4653333333333334,0.197375,1.0108411458333333,1.0330859375
2025-02-04 00:00:00,0.39937500000000004,0.7805415854819439,77.2424764669791,0.07619791666666668,0.1618802364017918,6.737164783694209,0.32887500000000003,0.45908333333333334,1.0109270833333335,1.0330625
2025-02-04 06:00:00,0.4764583333333334,0.8296349598869774,82.72244664279097,0.07619791666666668,0.1618802364017918,6.737164783694209,0.32291666666666674,0.5449583333333333,1.0109270833333335,1.0330625
2025-02-04 12:00:00,0.556875,0.88513624186713,88.69851983403093,0.03518749999999999,0.0899415464111738,3.0327475277040583,0.3200416666666667,0.6291666666666667,1.0421875,1.0339791666666667
2025-02-04 18:00:00,0.5411666666666667,0.8713172020950045,46.972102154755554,0.01293489583333332,0.025905690836345856,1.3138667029151088,0.197375,0.734625,1.032953125,1.0342161458333334
