date,target,dayofweek_sin,dayofweek_cos
2025-01-01 00:15:00,0.564,0.9749279121818236,-0.22252093395631434
2025-01-01 00:30:00,0.48,0.9749279121818236,-0.22252093395631434
2025-01-01 00:45:00,0.336,0.9749279121818236,-0.22252093395631434
2025-01-01 01:00:00,0.44,0.9749279121818236,-0.22252093395631434
2025-01-01 01:15:00,0.428,0.9749279121818236,-0.22252093395631434
2025-01-01 01:30:00,0.408,0.9749279121818236,-0.22252093395631434
2025-01-01 01:45:00,0.396,0.9749279121818236,-0.22252093395631434
2025-01-01 02:00:00,0.392,0.9749279121818236,-0.22252093395631434
2025-01-01 02:15:00,0.384,0.9749279121818236,-0.22252093395631434
2025-01-01 02:30:00,0.372,0.9749279121818236,-0.22252093395631434
2025-01-01 02:45:00,0.352,0.9749279121818236,-0.22252093395631434
2025-01-01 03:00:00,0.264,0.9749279121818236,-0.22252093395631434
2025-01-01 03:15:00,0.292,0.9749279121818236,-0.22252093395631434
2025-01-01 03:30:00,0.292,0.9749279121818236,-0.22252093395631434
2025-01-01 03:45:00,0.268,0.9749279121818236,-0.22252093395631434
2025-01-01 04:00:00,0.28,0.9749279121818236,-0.22252093395631434
2025-01-01 04:15:00,0.288,0.9749279121818236,-0.22252093395631434
2025-01-01 04:30:00,0.256,0.9749279121818236,-0.22252093395631434
2025-01-01 04:45:00,0.288,0.9749279121818236,-0.22252093395631434
2025-01-01 05:00:00,0.292,0.9749279121818236,-0.22252093395631434
2025-01-01 05:15:00,0.292,0.9749279121818236,-0.22252093395631434
2025-01-01 05:30:00,0.252,0.9749279121818236,-0.22252093395631434
2025-01-01 05:45:00,0.2,0.9749279121818236,-0.22252093395631434
2025-01-01 06:00:00,0.208,0.9749279121818236,-0.22252093395631434
2025-01-01 06:15:00,0.316,0.9749279121818236,-0.22252093395631434
2025-01-01 06:30:00,1.348,0.9749279121818236,-0.22252093395631434
2025-01-01 06:45:00,0.764,0.9749279121818236,-0.22252093395631434
2025-01-01 07:00:00,0.204,0.9749279121818236,-0.22252093395631434
2025-01-01 07:15:00,0.176,0.9749279121818236,-0.22252093395631434
2025-01-01 07:30:00,0.204,0.9749279121818236,-0.22252093395631434
2025-01-01 07:45:00,0.2,0.9749279121818236,-0.22252093395631434
2025-01-01 08:00:00,0.176,0.9749279121818236,-0.22252093395631434
2025-01-01 08:15:00,0.212,0.9749279121818236,-0.22252093395631434
2025-01-01 08:30:00,0.696,0.9749279121818236,-0.22252093395631434
2025-01-01 08:45:00,1.784,0.9749279121818236,-0.22252093395631434
2025-01-01 09:00:00,0.312,0.9749279121818236,-0.22252093395631434
2025-01-01 09:15:00,0.316,0.9749279121818236,-0.22252093395631434
2025-01-01 09:30:00,0.24,0.9749279121818236,-0.22252093395631434
2025-01-01 09:45:00,0.168,0.9749279121818236,-0.22252093395631434
2025-01-01 10:00:00,0.2,0.9749279121818236,-0.22252093395631434
2025-01-01 10:15:00,0.2,0.9749279121818236,-0.22252093395631434
2025-01-01 10:30:00,0.216,0.9749279121818236,-0.22252093395631434
2025-01-01 10:45:00,0.408,0.9749279121818236,-0.22252093395631434
2025-01-01 11:00:00,0.572,0.9749279121818236,-0.22252093395631434
2025-01-01 11:15:00,0.388,0.9749279121818236,-0.22252093395631434
2025-01-01 11:30:00,1.896,0.9749279121818236,-0.22252093395631434
2025-01-01 11:45:00,1.296,0.9749279121818236,-0.22252093395631434
2025-01-01 12:00:00,1.32,0.9749279121818236,-0.22252093395631434
2025-01-01 12:15:00,1.38,0.9749279121818236,-0.22252093395631434
2025-01-01 12:30:00,1.3,0.9749279121818236,-0.22252093395631434
2025-01-01 12:45:00,2.264,0.9749279121818236,-0.22252093395631434
2025-01-01 13:00:00,1.54,0.9749279121818236,-0.22252093395631434
2025-01-01 13:15:00,2.036,0.9749279121818236,-0.22252093395631434
2025-01-01 13:30:00,2.928,0.9749279121818236,-0.22252093395631434
2025-01-01 13:45:00,5.4,0.9749279121818236,-0.22252093395631434
2025-01-01 14:00:00,3.812,0.9749279121818236,-0.22252093395631434
2025-01-01 14:15:00,2.208,0.9749279121818236,-0.22252093395631434
2025-01-01 14:30:00,1.852,0.9749279121818236,-0.22252093395631434
2025-01-01 14:45:00,3.416,0.9749279121818236,-0.22252093395631434
2025-01-01 15:00:00,3.776,0.9749279121818236,-0.22252093395631434
2025-01-01 15:15:00,3.748,0.9749279121818236,-0.22252093395631434
2025-01-01 15:30:00,3.116,0.9749279121818236,-0.22252093395631434
2025-01-01 15:45:00,2.724,0.9749279121818236,-0.22252093395631434
2025-01-01 16:00:00,2.088,0.9749279121818236,-0.22252093395631434
2025-01-01 16:15:00,0.952,0.9749279121818236,-0.22252093395631434
2025-01-01 16:30:00,2.976,0.9749279121818236,-0.22252093395631434
2025-01-01 16:45:00,1.484,0.9749279121818236,-0.22252093395631434
2025-01-01 17:00:00,1.356,0.9749279121818236,-0.22252093395631434
2025-01-01 17:15:00,1.54,0.9749279121818236,-0.22252093395631434
2025-01-01 17:30:00,1.528,0.9749279121818236,-0.22252093395631434
2025-01-01 17:45:00,0.552,0.9749279121818236,-0.22252093395631434
2025-01-01 18:00:00,1.24,0.9749279121818236,-0.22252093395631434
2025-01-01 18:15:00,1.472,0.9749279121818236,-0.22252093395631434
2025-01-01 18:30:00,1.108,0.9749279121818236,-0.22252093395631434
2025-01-01 18:45:00,0.704,0.9749279121818236,-0.22252093395631434
2025-01-01 19:00:00,0.728,0.9749279121818236,-0.22252093395631434
2025-01-01 19:15:00,0.848,0.9749279121818236,-0.22252093395631434
2025-01-01 19:30:00,0.816,0.9749279121818236,-0.22252093395631434
2025-01-01 19:45:00,0.772,0.9749279121818236,-0.22252093395631434
2025-01-01 20:00:00,0.756,0.9749279121818236,-0.22252093395631434
2025-01-01 20:15:00,0.984,0.9749279121818236,-0.22252093395631434
2025-01-01 20:30:00,2.012,0.9749279121818236,-0.22252093395631434
2025-01-01 20:45:00,1.52,0.9749279121818236,-0.22252093395631434
2025-01-01 21:00:00,0.616,0.9749279121818236,-0.22252093395631434
2025-01-01 21:15:00,0.612,0.9749279121818236,-0.22252093395631434
2025-01-01 21:30:00,0.62,0.9749279121818236,-0.22252093395631434
2025-01-01 21:45:00,0.684,0.9749279121818236,-0.22252093395631434
2025-01-01 22:00:00,0.636,0.9749279121818236,-0.22252093395631434
2025-01-01 22:15:00,0.684,0.9749279121818236,-0.22252093395631434
2025-01-01 22:30:00,0.764,0.9749279121818236,-0.22252093395631434
2025-01-01 22:45:00,2.052,0.9749279121818236,-0.22252093395631434
2025-01-01 23:00:00,1.404,0.9749279121818236,-0.22252093395631434
2025-01-01 23:15:00,1.244,0.9749279121818236,-0.22252093395631434
2025-01-01 23:30:00,0.728,0.9749279121818236,-0.22252093395631434
2025-01-01 23:45:00,2.116,0.9749279121818236,-0.22252093395631434
2025-01-02 00:00:00,1.544,0.43388373911755823,-0.900968867902419
2025-01-02 00:15:00,0.84,0.43388373911755823,-0.900968867902419
2025-01-02 00:30:00,0.672,0.43388373911755823,-0.900968867902419
2025-01-02 00:45:00,0.616,0.43388373911755823,-0.900968867902419
2025-01-02 01:00:00,1.132,0.43388373911755823,-0.900968867902419
2025-01-02 01:15:00,0.408,0.43388373911755823,-0.900968867902419
2025-01-02 01:30:00,0.388,0.43388373911755823,-0.900968867902419
2025-01-02 01:45:00,0.336,0.43388373911755823,-0.900968867902419
2025-01-02 02:00:00,0.412,0.43388373911755823,-0.900968867902419
2025-01-02 02:15:00,0.316,0.43388373911755823,-0.900968867902419
2025-01-02 02:30:00,0.256,0.43388373911755823,-0.900968867902419
2025-01-02 02:45:00,0.276,0.43388373911755823,-0.900968867902419
2025-01-02 03:00:00,0.292,0.43388373911755823,-0.900968867902419
2025-01-02 03:15:00,0.288,0.43388373911755823,-0.900968867902419
2025-01-02 03:30:00,0.252,0.43388373911755823,-0.900968867902419
2025-01-02 03:45:00,0.2,0.43388373911755823,-0.900968867902419
2025-01-02 04:00:00,0.2,0.43388373911755823,-0.900968867902419
2025-01-02 04:15:00,0.168,0.43388373911755823,-0.900968867902419
2025-01-02 04:30:00,0.204,0.43388373911755823,-0.900968867902419
